Time_Stamp,args,Desc_Orig,Desc_AfterPreProcess,TgtSmry_Original,TgtSmry_AfterPreProcess,Model_Info,Description_Length,Prediction_Length,Prediction_Summary,Rouge_Scores,Data Loading and Preprocessing Duration (s),Model Loading Duration (s),Model Inference Duration (s),Total Inference Duration (s)
16:13:20 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.061,3.584,0.582,7.01
16:14:50 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.061,3.54,0.597,6.959
16:15:57 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.057,3.442,0.571,6.879
16:41:39 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.061,3.417,0.593,6.84
16:43:56 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.062,4.157,0.583,7.568
16:45:11 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.062,3.448,0.585,6.87
16:46:51 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.064,3.444,0.583,6.925
16:49:06 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.06,3.463,0.589,6.897
16:54:35 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:latest', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:latest model for Seq2SeqwithXfmrMemEfficient, which is from step 12500 and metric value is 0.410",96,74,"this invention provides a utility characteristic method and bleaching design providing to double using a number theory posts , from several recovery meaning sufficient chimney to quickly , and plugged , all it comprising a number which prevents small until wet roof subsystem , geological certain diameters to a certain sensors . the plugged and plugged to experience may be design to automatically design by a single vibration design providing a single various .","[{'rouge-1': {'f': 0.09638553986935698, 'p': 0.05555555555555555, 'r': 0.36363636363636365}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.13333333033888894, 'p': 0.08163265306122448, 'r': 0.36363636363636365}}]",0.063,3.459,0.566,6.828
17:01:05 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:v0', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:v0 model for Seq2SeqwithXfmrMemEfficient, which is from step 20500 and metric value is 0.384",96,25,double storage and invention provides individuals useful to valuable packaging both catch periodically convenient that can be used to valuable found at their structures which,"[{'rouge-1': {'f': 0.055555551311728714, 'p': 0.04, 'r': 0.09090909090909091}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.0588235250346024, 'p': 0.043478260869565216, 'r': 0.09090909090909091}}]",0.059,3.537,0.257,6.911
18:31:32 on 2021/06/04,"{'hiddenDim': 128, 'numLayers': 2, 'decNumLayers': 4, 'numHeads': 4, 'dropout': 0.0, 'loadModelName': 'MODEL7:v0', 'inputTextFile': 'inferenceData.json', 'modelType': 'Seq2SeqwithXfmrMemEfficient', 'beamSize': 0, 'configPath': './config.yaml'}",this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary. this is some input text that needs to be summarized by the model. This text should first be preprocessed and then it is going to be preprocessed and then it will be fed to the model. The output of the model is going to be the text summary,"['this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary.', 'this', 'is', 'some', 'input', 'text', 'that', 'needs', 'to', 'be', 'summarized', 'by', 'the', 'model.', 'this', 'text', 'should', 'first', 'be', 'preprocessed', 'and', 'then', 'it', 'is', 'going', 'to', 'be', 'preprocessed', 'and', 'then', 'it', 'will', 'be', 'fed', 'to', 'the', 'model.', 'the', 'output', 'of', 'the', 'model', 'is', 'going', 'to', 'be', 'the', 'text', 'summary']",this is the target summary . It should be treated as such .,"['this', 'is', 'the', 'target', 'summary', '.', 'it', 'should', 'be', 'treated', 'as', 'such', '.']","Loaded MODEL7:v0 model for Seq2SeqwithXfmrMemEfficient, which is from step 627 and metric value is 0.194",96,148,a method of a --oov-- --#number#-- ; s --#number#-- ; --#number#-- --oov-- --#number#-- --oov-- --#number#-- --oov-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#-- --#number#--,"[{'rouge-1': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-2': {'f': 0.0, 'p': 0.0, 'r': 0.0}, 'rouge-l': {'f': 0.0, 'p': 0.0, 'r': 0.0}}]",0.065,3.69,1.109,7.781
